w0,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13,w14,w15
1.626279099999999971e+03,9.775824999999999818e+02,6.504343999999999824e+02,1.629313200000000052e+03,9.817078000000000202e+02,6.386303000000000338e+02,3.144776600000000144e+03,3.355170700000000124e+03,1.034667200000000093e+03,1.006290799999999990e+03,5.440843999999999596e+02,5.627341999999999871e+02,1.043944700000000012e+03,1.067167400000000043e+03,6.325996999999999844e+02,6.144588999999999714e+02
1.645845600000000104e+03,1.001384699999999953e+03,6.355272999999999683e+02,1.640191600000000108e+03,1.008489199999999983e+03,6.249913999999999987e+02,3.122129800000000159e+03,3.430300000000000182e+03,1.026898100000000113e+03,9.988142000000000280e+02,5.413573000000000093e+02,5.580602000000000089e+02,1.058784200000000055e+03,1.074115000000000009e+03,6.567179999999999609e+02,6.436828000000000429e+02
1.662092399999999998e+03,1.029236499999999978e+03,6.174484999999999673e+02,1.655727000000000089e+03,1.037130900000000111e+03,6.115637000000000398e+02,3.097701900000000023e+03,3.511497100000000046e+03,1.016410100000000057e+03,9.922975000000000136e+02,5.384018999999999551e+02,5.535923999999999978e+02,1.071910300000000007e+03,1.085250299999999925e+03,6.830551000000000386e+02,6.742813999999999623e+02
1.681082100000000082e+03,1.057563100000000077e+03,6.020824000000000069e+02,1.668871100000000069e+03,1.066523200000000088e+03,5.987874000000000478e+02,3.069114999999999782e+03,3.601794300000000021e+03,1.007043199999999956e+03,9.825766999999999598e+02,5.333553000000000566e+02,5.491398000000000366e+02,1.088880699999999933e+03,1.096370300000000043e+03,7.124483999999999924e+02,7.070949000000000524e+02
1.702158699999999953e+03,1.084483600000000024e+03,5.862627999999999702e+02,1.677182800000000043e+03,1.101631800000000112e+03,5.851846000000000458e+02,3.039702299999999923e+03,3.693202000000000226e+03,9.988079000000000178e+02,9.707439000000000533e+02,5.274998000000000502e+02,5.456507000000000289e+02,1.106682199999999966e+03,1.106413399999999911e+03,7.409152000000000271e+02,7.421911999999999807e+02
1.721506599999999935e+03,1.113265499999999975e+03,5.732956000000000358e+02,1.685544599999999946e+03,1.140093800000000101e+03,5.700036999999999807e+02,3.003928499999999985e+03,3.795781300000000101e+03,9.887663000000000011e+02,9.567417000000000371e+02,5.194855000000000018e+02,5.419349999999999454e+02,1.127881599999999935e+03,1.117039299999999912e+03,7.729343000000000075e+02,7.809261000000000195e+02
1.728565499999999929e+03,1.147684600000000046e+03,5.633200000000000500e+02,1.695230999999999995e+03,1.172635700000000043e+03,5.574769000000000005e+02,2.971656199999999899e+03,3.889257500000000164e+03,9.790252000000000407e+02,9.445194999999999936e+02,5.142052999999999656e+02,5.369062000000000126e+02,1.137389699999999948e+03,1.131917099999999891e+03,8.099498999999999569e+02,8.130008000000000266e+02
1.743321099999999888e+03,1.183506000000000085e+03,5.499101000000000568e+02,1.706875600000000077e+03,1.209085700000000088e+03,5.466570000000000391e+02,2.939189300000000003e+03,3.996166200000000117e+03,9.681648999999999887e+02,9.332917999999999665e+02,5.084383000000000266e+02,5.322943000000000211e+02,1.153467699999999923e+03,1.146980700000000070e+03,8.476662999999999784e+02,8.510515000000000327e+02
1.756285900000000083e+03,1.217383100000000013e+03,5.397133999999999787e+02,1.718984600000000000e+03,1.248129599999999982e+03,5.343672000000000253e+02,2.905688299999999799e+03,4.105175500000000284e+03,9.559924999999999500e+02,9.235150999999999613e+02,5.030778000000000247e+02,5.261028999999999769e+02,1.171473199999999906e+03,1.159518900000000031e+03,8.838388999999999669e+02,8.933445000000000391e+02
1.772726699999999937e+03,1.254180000000000064e+03,5.278677000000000135e+02,1.732294900000000098e+03,1.286395400000000109e+03,5.234488000000000056e+02,2.864478599999999915e+03,4.228434900000000198e+03,9.423365000000000009e+02,9.103613000000000284e+02,4.963091000000000008e+02,5.184717000000000553e+02,1.192684999999999945e+03,1.177660200000000032e+03,9.244438000000000102e+02,9.366458999999999833e+02
